レベル,曲名,BPM
Lv17
50,サイレント(EX),210-360
50,ダージュ(EX),165-188
50,エンジェリオン(EX),105-172
50,L-an!ma(EX),104-209
50,ムラクモ(EX),140
50,トイコンテンポラリー(EX),187
49,DIAVOLO(EX),160
47,ヒップロック3.5(EX),168-210
Lv16
49,スケールアウト(EX),100-173
49,"恋歌疾風! かるたクイーンいろは(EX)",120-168
49,スペースレクイエム(EX),210
49,"激走!! ヤング☆ダンプ!(EX)",180
49,カウボーイ(EX),134
49,ハードルネッサンス(EX),212
49,ニエンテ(EX),199
49,インボルク(EX),184
49,ジャッジメント(EX),185
49,perditus†paradisus(EX),172
49,リナシタ(EX),200
49,ジオメトリック∮ティーパーティー(EX),132-188
Lv15
49,Innocence(EX),120-180
49,QuoN(EX),168
49,メタリックオペラ(EX),180
49,ヴェラム(EX),170
49,C18H27NO3(EX),210
49,ブラッドメタル(EX),198
48,グラヴィオール(EX),90-182
48,ZADAMGA(EX),180
48,ゾディアックオラクル7(EX),173
48,"オリエンタルミソロジー(EX)",170
Lv14
49,RINИE(EX),198
49,ルイナススピリチュアル(EX),150
49,アンセム(天空の夜明け)(EX),150
48,ふること(EX),175-195
48,御千手メディテーション(EX),150-190
48,ノマディックネイション(EX),135
48,ノマディックネイション2(EX),135
48,スピードダンス(EX),180
48,Chronoxia(EX),180
48,Metamorphose(EX),201
48,クリエイター(EX),200
48,ワラベステップ(EX),140-146
46,"&quot;Schall&quot; we step?(EX)",178
Lv13
49,プログレッシブバロック(EX),174
49,オイパンク0(EX),90-360
48,敬老パンク(EX),89-356
48,バイキング(EX),100-133
48,ハードルネッサンス3(EX),195?
48,ナイトメアメタル(EX),80-190
48,謀叛トランス(EX),150
48,フィーバーロボ(EX),160
48,アートコア(EX),186
48,asteer(EX),205
Lv12
48,カラフルトイズ・ワンダーランド(EX),180
48,"プログレッシブ(Concertino In Blue)(EX)",103-155
48,ハードルネッサンス2(EX),185
48,ラメント(EX),95-210
48,火風陸空(EX),180
48,Idola(EX),201
